"install
No.";School Name (Arabic);Latitude†;Longitude†;SEC Meter Serial ;SEC Meter Number ;Voltage Level (220/110V);"Breaker
Capacity (A)";"Approx Length
 (Roof to Elec room)";Haris / Manager Contact;Ready to install (Yes/No);Comment ;location
1;„ Ê”ÿ… √»Ì ⁄»Ìœ… - »‰Ì‰;26.3773443;43.953123;KFM2120660298585;10091788928;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3773443 43.953123
2;À«‰ÊÌ… «·«„«„ «·ÿÕ«ÊÌ »»—Ìœ… - »‰Ì‰ ;26.3784074;43.963361;KFM2020660207744;10041261615;220V/3PH;2000A;-;-;;;https://maps.google.com/maps?q=26.3784074 43.963361
3;«» œ«∆Ì… «·›«—Êﬁ »»—Ìœ…  - »‰Ì‰;26.3145973;43.978819;KFM2020660194245;10041839321;380V/3PH;1000A;-;-;;;https://maps.google.com/maps?q=26.3145973 43.978819
4;„Ã„⁄ «·ﬁÌ—Ê«‰ «· ⁄·Ì„Ì »»—Ìœ… -«·ﬁ”„ «·„ Ê”ÿ- »‰Ì‰;26.3958145;43.932203;KFM2020660204662;10041470203;220V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3958145 43.932203
5;«» œ«∆Ì… ⁄À„«‰ »‰ ⁄›«‰ - »‰Ì‰;26.3643396;43.958131;KFM2020660194788;10041458147;380V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3643396 43.958131
6;«» œ«∆Ì… «·›Ì’·Ì… - »‰Ì‰;26.3507337;43.965037;KFM2020660205336;10041394424;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3507337 43.965037
7;„ Ê”ÿ… ”Ì»ÊÌÂ - »‰Ì‰ ;26.4123689;43.929204;KFM2020660187506;10093142685;380V/3PH;1600;-;-;;;https://maps.google.com/maps?q=26.4123689 43.929204
8;«·„ Ê”ÿ… «·Œ«„”… Ê«·Œ„”Ê‰ - »‰« ;26.3272589;44.014789;SRM2320661033214;10105752709;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3272589 44.014789
9;À«‰ÊÌ… ﬁÌ” »‰ ⁄«’„ —÷Ï «··Â ⁄‰Â - »‰Ì‰ ;26.4122509;43.929471;KFM2020660187503;10093149041;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.4122509 43.929471
10;«·À«‰ÊÌ… «·Œ«„”… Ê«·⁄‘—Ê‰ »»—Ìœ… - „”«—«  - »‰« ;26.3281213;44.02538;KFM2120660265817;10041713114;220V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3281213 44.02538
11;„œ—”… √„ «·„ƒ„‰Ì‰ ’›Ì… »‰  ÕÌÌ ··ÿ›Ê·… «·„»ﬂ—… Ê«·«» œ«∆Ì… »»—Ìœ… - »‰« ;26.3582212;43.995437;KFM2120660301083;10041960204?;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3582212 43.995437
12;«·À«‰ÊÌ… «·”«»⁄… Ê«·⁄‘—Ê‰ »»—Ìœ… - „”«—«  - »‰« ;26.3088757;44.040119;KFM2020660194383;10090557873?;380V/3PH;1000A;-;-;;;https://maps.google.com/maps?q=26.3088757 44.040119
13;«·«» œ«∆Ì… «·À«‰Ì… · Õ›ÌŸ  «·ﬁ—«‰  »»—Ìœ… - »‰« ;26.3414173;43.983019;KFM2020660211765;10042006958?;380V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3414173 43.983019
14;«·À«‰ÊÌ… «·Œ«„”… »»—Ìœ… - »‰« ;26.3731105;43.977384;KFM2020660205316;10041964357?;380V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3731105 43.977384
15;«·«» œ«∆Ì… «·”«œ”…  Ê«·À·«ÀÊ‰ »»—Ìœ… - »‰« ;26.341744;43.982553;KFM2020660194922;10041954781?;380V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.341744 43.982553
16;«·«» œ«∆Ì… «·”«»⁄… · Õ›ÌŸ «·ﬁ—«‰ »»—Ìœ… - »‰« ;26.3129143;43.962908;KFM2120660263561;10099573152?;220V/3PH;800A;-;-;;;https://maps.google.com/maps?q=26.3129143 43.962908
17;«·À«‰ÊÌ… «·À«·À… Ê«·⁄‘—Ê‰ »»—Ìœ… -»‰«  ;26.3872433;43.935161;KFM2020660195009;10041789972?;220V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3872433 43.935161
18;«·„ Ê”ÿ… «·”«œ”… Ê«·√—»⁄Ê‰ »»—Ìœ… - »‰« ;26.3091706;44.039454;KFM2020660194381;10090562499?;380V/3PH;800A;-;-;;;https://maps.google.com/maps?q=26.3091706 44.039454
19;À«‰ÊÌ… ««·„ ‰»Ì »»—Ìœ… - »‰Ì‰ ;26.3899722;43.965727;KFM2120660235942;10041810520;220V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3899722 43.965727
20;«·«» œ«∆Ì… «·—«»⁄… Ê«·«—»⁄Ê‰  »»—Ìœ… - »‰« ;26.3791874;43.971439;KFM2020660205572;10041468205?;380V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3791874 43.971439
21;«·√» œ«∆Ì… «·À«‰Ì… »«·‘ﬁ…- »‰« ;26.3827834;43.861024;KFM2020660211704;10089582784?;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3827834 43.861024
22;«·À«‰ÊÌ… «·À«‰Ì… »«·‘ﬁ… - »‰« ;26.3844297;43.865038;KFM2120660246812;10041525231?;220V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3844297 43.865038
23;«·«» œ«∆Ì… «·À·«ÀÊ‰ »»—Ìœ… - »‰« ;26.3382125;43.979649;KFM2020660204801;10041716180?;380V/3PH;400A;-;-;;;https://maps.google.com/maps?q=26.3382125 43.979649
24;À«‰ÊÌ… «·„·Ìœ«¡  »»—Ìœ…  - »‰« ;26.3158246;43.785109;KFM2120660304756;10041931051?;220V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3158246 43.785109
25;«·«» œ«∆Ì… «·À«·À… »»—Ìœ… - »‰« ;26.3144064;44.056231;KFM2120660248042;10041559346?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3144064 44.056231
26;«·„ Ê”ÿ… «·À«‰Ì… Ê«·Œ„”Ê‰ »»—Ìœ… - »‰« ;26.3139887;44.056309;KFM2120660248036;10041559088?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3139887 44.056309
27;«·«» œ«∆Ì… «·—«»⁄… »«·‘ﬁ… - »‰« ;26.3681915;43.8623;KFM2020660204853;10041559471?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3681915 43.8623
28;„ Ê”ÿ… «„ «·„ƒ„‰Ì‰ Õ›’… —÷Ï «··Â ⁄‰Â«  - »‰« ;26.3797696;43.914074;KFM2020660204691;10088604869?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3797696 43.914074
29;«·«» œ«∆Ì… «·À«„‰… »»—Ìœ… - »‰« ;26.3240933;43.963961;KFM2020660193845;10041716662?;380V/3PH;400A;;;;;https://maps.google.com/maps?q=26.3240933 43.963961
30;«·„ Ê”ÿ… «·À«„‰… ⁄‘—… »»—Ìœ… - »‰« ;26.3289177;44.025754;KFM2120660265820;10041778709?;380V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3289177 44.025754
31;«·«» œ«∆Ì… «·À«‰Ì… ⁄‘—… »»—Ìœ… - »‰« ;26.3194562;43.956594;KFM2020660153836;10041816013?;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3194562 43.956594
32;«·«» œ«∆Ì… «·—«»⁄… · Õ›ÌŸ «·ﬁ—«‰ »»—Ìœ… - »‰« ;26.3296313;43.963174;KFM2120660265200;10041848625?;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3296313 43.963174
33;«·À«‰ÊÌ… «·«Ê·Ï »»—Ìœ… - „ﬁ——«  - »‰« ;26.3356425;43.991766;KFM2120660303663;10041308936?;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3356425 43.991766
34;«·„ Ê”ÿ… «· «”⁄… Ê«·«—»⁄Ê‰  »»—Ìœ… - »‰« ;26.3910167;43.954188;KFM2020660198549;10041862366?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3910167 43.954188
35;„œ—”… ”Â·… »‰  ”ÂÌ· ··ÿ›Ê·… «·„»ﬂ—… Ê«·«» œ«∆Ì… »»—Ìœ… - »‰« ;26.3226989;44.038931;KFM2020660194286;10041896211?;220V/3PH;400A;;;;;https://maps.google.com/maps?q=26.3226989 44.038931
36;„Ã„⁄ Œ÷Ì—«¡ «· ⁄·Ì„Ì -»‰«  ;26.3015808;44.013224;KFM2020660206346;10041815901?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3015808 44.013224
37;«·À«‰ÊÌ… «·Œ«„”… ⁄‘— »»—Ìœ… - „”«—«  - »‰« ;26.3244567;43.989736;KFM2020660194861;10041349797?;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3244567 43.989736
38;«·«» œ«∆Ì… «·”«»⁄… Ê«·À„«‰Ê‰ »»—Ìœ… - »‰« ;26.3905823;43.954506;KFM2020660207743;10041862624;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3905823 43.954506
39;„ Ê”ÿ… «·Ã“Ì—… »»—Ìœ… - »‰Ì‰ ;26.3762088;43.974616;SMR2320661024096;10041281501?;380V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3762088 43.974616
40;«·«» œ«∆Ì… «·”«»⁄… »»—Ìœ… - »‰« ;26.3172396;43.980576;KFM2120660248033;10041615740?;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3172396 43.980576
41;«·„ Ê”ÿ… «·À«‰Ì… »«·‘ﬁ…  - »‰« ;26.3824199;43.861379;KFM2020660211706;10089583816?;380V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3824199 43.861379
42;“Ì‰» »‰  „Õ„œ ’·Ï «··Â ⁄·ÌÂ Ê”·„ ··ÿ›Ê·Â „»ﬂ—…  »»—Ìœ… - »‰« ;26.3799164;43.914009;KFM2020660204696;10088602739?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3799164 43.914009
43;«·«» œ«∆Ì… «·”«»⁄… ⁄‘—… »»—Ìœ… - »‰« ;26.3121548;44.049974;KFM2020660194301;10041170708?;220V/3PH;400A;;;;;https://maps.google.com/maps?q=26.3121548 44.049974
44;«» œ«∆Ì… ¬»Ì „Ê”Ï «·«‘⁄—Ì · Õ›ÌŸ «·ﬁ—«‰  »»—Ìœ… - »‰Ì‰ ;26.3760507;43.975438;KFM2020660205320;10041544147?;380V/3PH;N/A;;;;;https://maps.google.com/maps?q=26.3760507 43.975438
45;«» œ«∆Ì… «„ «·ﬁ—Ï »»—Ìœ… - »‰Ì‰ ;26.3753717;43.974612;KFM2120660303672;10092566853?;380V/3PH;1000A;;;;;https://maps.google.com/maps?q=26.3753717 43.974612
46;„œ—”… —«»⁄… »‰  À«»  ··ÿ›Ê·… «·„»ﬂ—… »»—Ìœ… - »‰« ;26.3218321;43.992009;KFM2120660273099;10041163276?;380V/3PH;N/A;;;;;https://maps.google.com/maps?q=26.3218321 43.992009
47;«·À«‰ÊÌ… «·À«·À… Ê«·À·«ÀÊ‰ »»—Ìœ… - „ﬁ——«  - »‰« ;26.3467561;43.965794;KFM2020660204867;10041905937?;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3467561 43.965794
48;«·„ Ê”ÿ… «·—«»⁄… »»—Ìœ… - »‰« ;26.3245533;43.98638;SMR2220661003533;10041571378?;220V/3PH;800A;;;;;https://maps.google.com/maps?q=26.3245533 43.98638
49;¬„‰… »‰  ⁄À„«‰ »‰ ⁄›«‰ »»—Ìœ… - »‰« ;26.3741815;43.853327;KFM2120660301427;10041849856?;220V/3PH;2000A;;;;;https://maps.google.com/maps?q=26.3741815 43.853327
50;«·„ Ê”ÿ… «·À«‰Ì… ⁄‘— »»—Ìœ… - »‰« ;26.3790436;43.970965;KFM2120660287896;10103728508?;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3790436 43.970965
51;«·„ Ê”ÿ… «·Œ«„”… Ê«·À·«ÀÊ‰ »»—Ìœ… - »‰« ;26.347077;43.9661526;KFM2020660204870;10041906068?;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.347077 43.9661526
52;„œ—”… ”⁄«œ »‰  ”·„… ··ÿ›Ê·… «·„»ﬂ—… »»—Ìœ…  - »‰« ;26.3937174;43.860138;SRM2320661021337;10041395628?;220V/3PH;1000A;;;;;https://maps.google.com/maps?q=26.3937174 43.860138
53;„œ—”… «·⁄—Ì„÷Ì ··ÿ›Ê·… «·„»ﬂ—… Ê«·«» œ«∆Ì… - »‰« ;26.2914746;43.923145;KFM2120660304332;10083696062?;380V/3PH;400A;;;;;https://maps.google.com/maps?q=26.2914746 43.923145
54;«» œ«∆Ì… „Õ„œ »‰ „«·ﬂ »»—Ìœ… - »‰Ì‰ ;26.3698513;43.970569;KFM2020660194776;10041288904?;380V/3PH;2500A;;;;;https://maps.google.com/maps?q=26.3698513 43.970569
55;«·À«‰ÊÌ… «·√Ê·Ï »«·„—Ìœ”Ì… - „ﬁ——«  - »‰« ;26.3107777;43.932052;KFM2020660187281;10041612953?;220V/3PH;400A;;;;;https://maps.google.com/maps?q=26.3107777 43.932052
56;«» œ«∆Ì… «·«„«„ „Ã«Âœ »»—Ìœ… - »‰Ì‰ ;26.37969;43.9627207;KFM2020660204873;10041498321?;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.37969 43.9627207
57;«·À«‰ÊÌ… «· «”⁄… »»—Ìœ… - „ﬁ——«  - »‰« ;26.3131111;43.963332;KFM2120660304327;10041432472?;380V/3PH;800A;;;;;https://maps.google.com/maps?q=26.3131111 43.963332
58;«·«» œ«∆Ì… «·Œ«„”… Ê«·√—»⁄Ê‰  »»—Ìœ… - »‰« ;26.332343,;43.9731344;KFM2020660194524;10041757932;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.332343 43.9731344
59;„œ—”… “Ì‰» »‰  ⁄„— »‰ «·Œÿ«» ··ÿ›Ê·… «·„»ﬂ—… Ê«·«» œ«∆Ì… »»—Ìœ… - »‰« ;26.3295184;43.962808;KFM2120660304324;10041535809?;380V/3PH;800A;;;;;https://maps.google.com/maps?q=26.3295184 43.962808
60;«·À«‰ÊÌ… «·⁄«‘—… »»—Ìœ… - „ﬁ——«  - »‰« ;26.3193311;43.957024;KFM2020660166406;10041171090?;380V/3PH;800A;;;;;https://maps.google.com/maps?q=26.3193311 43.957024
61;«·«» œ«∆Ì… «·—«»⁄… Ê«·” Ê‰ »»—Ìœ… - »‰«  ;26.3810925;43.938115;SMR2320661030271;10105885044;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3810925 43.938115
62;„ Ê”ÿ… «·Œ÷— Ê«·ÊÃÌ⁄«‰ »»—Ìœ… - »‰« ;26.3094419;44.040673;KFM2020660194782;10041784635?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3094419 44.040673
63;„œ—”… ﬂ—Ì„… «·ﬂ‰œÌ… ··ÿ›Ê·… «·„»ﬂ—… »»—Ìœ… - »‰« ;26.3380563;43.979038;KFM2020660196170;10041257318?;220V/3PH;400A;;;;;https://maps.google.com/maps?q=26.3380563 43.979038
64;«·«» œ«∆Ì… «·À«·À… Ê«·⁄‘—Ê‰ »»—Ìœ… - »‰« ;26.2997983;43.946379;KFM2120660268524;10041719593?;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.2997983 43.946379
65;«·«» œ«∆Ì… «·«Ê·Ï »ÕÊÌ·«‰ - »‰« ;26.2997983;43.946379;KFM2020660195287;10041664726?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.2997983 43.946379
66;«·«» œ«∆Ì… «·”«œ”… Ê«·«—»⁄Ê‰  »»—Ìœ… -»‰«  ;26.3692361;43.936197;KFM2020660204747;10041225047?;380V/3PH;N/A;;;;;https://maps.google.com/maps?q=26.3692361 43.936197
67;„œ—”… √„ «·⁄·«¡ «·√‰’«—Ì… ··ÿ›Ê·… «·„»ﬂ—… »»—Ìœ… - »‰« ;26.2611843;43.992345;KFM2020660211723;10041785356?;220V/3PH;400A;;;;;https://maps.google.com/maps?q=26.2611843 43.992345
68;”‰«¡ «·”·„Ì… «·ÿ›Ê·… «·„»ﬂ—…;26.3799164;43.914009;KFM2020660194794;10041772948?;220V/3PH;400A;;;;;https://maps.google.com/maps?q=26.3799164 43.914009
69;—Ê÷… “Ì‰» »‰  „Õ„œ ’·Ï «··Â ⁄·ÌÂ Ê”·„ »»—Ìœ… - »‰« ;26.3094419;44.040673;KFM2020660204692;10088606246?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3094419 44.040673
70;≈» œ«∆Ì… ⁄»œ«·—Õ„‰ »‰ ⁄Ê› (—÷Ï «··Â ⁄‰Â ) - »‰Ì‰ ;26.4078652;43.930835;KFM2020660194450;10041772680?;220V/3PH;400A;;;;;https://maps.google.com/maps?q=26.4078652 43.930835
71;«·«» œ«∆Ì… «·”«œ”… · Õ›ÌŸ «·ﬁ—«‰ »»—Ìœ… - »‰« ;26.3200825;43.886356;KFM2020660205359;10041170145;380V/3PH;300A;;;;;https://maps.google.com/maps?q=26.3200825 43.886356
72;«·À«‰ÊÌ… «·√Ê·Ï »÷—«” - „ﬁ——«  - »‰« ;26.3193864;43.877608;KFM2120660278912;10041716878;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3193864 43.877608
73;«» œ«∆Ì… ⁄ﬁ»… »‰ ⁄«„—;26.2891;43.8707;KFM2120660266841;10041304811?;220V/3PH;2500A;;;;;https://maps.google.com/maps?q=26.2891 43.8707
74;„œ—”… «·„‰’Ê—Ì…;26.3241;43.9404;KFM2020660195285;10041750280?;220V/3PH;2000A;;;;;https://maps.google.com/maps?q=26.3241 43.9404
75; „ Ê”ÿ… ÕÊÌ·«‰;26.2972;43.9473;KFM2020660195286;10041773060;220V/3PH;400A;;;;;https://maps.google.com/maps?q=26.2972 43.9473
76;Ì«ﬁÊ  «·Õ„ÊÌ;26.3102;43.9426;KFM2120660273068;10041750154?;220V/3PH;2000A;;;;;https://maps.google.com/maps?q=Ì«ﬁÊ  «·Õ„ÊÌ 26.3102
77;«·»’—;26.3006;43.868;KFM2120660266830;10085393386?;380V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3006 43.868
78;«» œ«∆Ì… «·⁄“ »‰ ⁄»œ«·”·«„;26.3295;43.944;KFM2120660301870;10041287649;220V/3PH;N/A;;;;;https://maps.google.com/maps?q=«» œ«∆Ì… «·⁄“ »‰ ⁄»œ«·”·«„ 26.3295
79;«·√„Ì— ⁄»œ«·⁄“Ì“ »‰ „”«⁄œ;26.3206;43.8055;KFM2120660266793;10041882897?;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=«·√„Ì— ⁄»œ«·⁄“Ì“ »‰ „”«⁄œ 26.3206
80;«» œ«∆Ì… «· ÷«„‰ «·«”·«„Ì;26.3336;44.0003;KFM2120660236017;10041643593?;380V/3PH;1600A/2000A;;;;;https://maps.google.com/maps?q=26.3336 44.0003
81;«» œ«∆Ì… «·Õ”‰ «·»’—Ì;26.3581;43.9737;SMR2220661019889;10041901938?;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3581 43.9737
82;«» œ«∆Ì… «·“»Ì— »‰ «·⁄Ê«„;26.3484;43.9902;KFM2020660205312;10041181597?;380V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3484 43.9902
83;«» œ«∆Ì… «·‘ÌŒ ’«·Õ «·Œ—Ì’Ì;26.3414;43.9774;KFM2120660235930;10041712135?;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3414 43.9774
84;⁄Êﬁ ”„⁄Ì «» œ«∆Ì… „⁄Âœ «·«„· ··’„;26.3535;43.9635;KFM2020660205338;10041401411?;380V/3PH;3000A;;;;;https://maps.google.com/maps?q=26.3535 43.9635
85; Õ›ÌŸ «» œ«∆Ì… «·‘ÌŒ ’«·Õ «·»·ÌÂÌ · Õ›ÌŸ «·ﬁ—«‰ «·ﬂ—Ì„;26.3174;43.9752;KFM2120660237486;10041762665;380V/3PH;2000A;;;;;https://maps.google.com/maps?q=26.3174 43.9752
86;«·„⁄Âœ «·⁄·„Ì »»—Ìœ… - À«‰ÊÌ;26.329;43.9769;KFM2120660248045;10041149034?;220V/3PH;400A;;;;;https://maps.google.com/maps?q=26.329 43.9769
87;„ Ê”ÿ… «·‘ÌŒ „Õ„œ »‰ ⁄ÀÌ„Ì‰ · Õ›ÌŸ «·ﬁ—¬‰ «·ﬂ—Ì„;26.3413;43.961;KFM2020660194300;10041717285?;380V/3PH;1600A/2000A;;;;;https://maps.google.com/maps?q=„ Ê”ÿ… «·‘ÌŒ „Õ„œ »‰ ⁄ÀÌ„Ì‰ · Õ›ÌŸ «·ﬁ—¬‰ «·ﬂ—Ì„ 26.3413
88;„ Ê”ÿ… «»‰ Œ·œÊ‰;26.3164;43.9583;KFM2020660211718;10041181471?;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3164 43.9583
89;À«‰ÊÌ… «·„·ﬂ ”⁄Êœ - „”«—« ;26.3159;43.9594;KFM2120660235954;10041313257?;380V/3PH;3000A;;;;;https://maps.google.com/maps?q=26.3159 43.9594
90;„œ—”… «·≈„«„ «·‰ÊÊÌ «·«» œ«∆Ì…;26.3164;43.9603;KFM2020660194529;10041737911;380V/3PH;2000A;;;;;https://maps.google.com/maps?q=26.3164 43.9603
91;«» œ«∆Ì… —»Ì⁄… »‰ ﬂ⁄»;26.3292;43.9547;KFM2020660195360;10041840126?;380V/3PH;1250A/1600A;;;;;https://maps.google.com/maps?q=26.3292 43.9547
